Year,Month,Country,Passengers,Flights,Freight,Passengers_per_flight,YoY_growth,Cluster,Total_Passengers_Per_Year,YoY_Growth
1990,1,USA,779445.0,5208.0,534338.0,149.66301843317973,,2,46008302.0,
1990,1,China,196622.0,1350.0,140592.0,145.64592592592592,,0,46008302.0,0.0
1990,1,Italy,327519.0,2116.0,205358.0,154.7821361058601,,0,46008302.0,0.0
1990,1,Mexico,243615.0,1649.0,160862.0,147.73499090357794,,0,46008302.0,0.0
1990,1,Canada,200381.0,1322.0,102993.0,151.57413010590014,,0,46008302.0,0.0
1990,1,Japan,389717.0,2626.0,215745.0,148.40708301599392,,2,46008302.0,0.0
1990,1,Germany,373472.0,2475.0,160706.0,150.89777777777778,,0,46008302.0,0.0
1990,1,United Kingdom,309011.0,2017.0,93131.0,153.20327218641546,,0,46008302.0,0.0
1990,1,India,110266.0,695.0,54608.0,158.65611510791368,,0,46008302.0,0.0
1990,1,Brazil,84238.0,564.0,35344.0,149.3581560283688,,0,46008302.0,0.0
1990,1,Australia,73275.0,515.0,47699.0,142.28155339805826,,0,46008302.0,0.0
1990,1,South Korea,121484.0,793.0,63648.0,153.1954602774275,,0,46008302.0,0.0
1990,1,Spain,156066.0,1006.0,52150.0,155.1351888667992,,0,46008302.0,0.0
1990,1,Netherlands,95311.0,661.0,60625.0,144.19213313161876,,0,46008302.0,0.0
1990,1,UAE,50527.0,329.0,30956.0,153.5775075987842,,0,46008302.0,0.0
1990,1,Turkey,51720.0,379.0,23484.0,136.46437994722956,,0,46008302.0,0.0
1990,1,Singapore,42931.0,276.0,24621.0,155.54710144927537,,0,46008302.0,0.0
1990,1,Thailand,71207.0,513.0,32415.0,138.80506822612085,,0,46008302.0,0.0
1990,1,Saudi Arabia,28847.0,200.0,12159.0,144.235,,0,46008302.0,0.0
1990,2,USA,795298.0,5290.0,411080.0,150.3398865784499,2.0338830834760735,2,46008302.0,0.0
1990,2,China,185099.0,1204.0,58785.0,153.73671096345515,-5.8604835674543,0,46008302.0,0.0
1990,2,Italy,296108.0,1985.0,158475.0,149.1727959697733,-9.590588637605757,0,46008302.0,0.0
1990,2,Mexico,252379.0,1721.0,122043.0,146.64671702498546,3.5974796297436606,0,46008302.0,0.0
1990,2,Canada,211070.0,1381.0,86329.0,152.8385228095583,5.3343380859462775,0,46008302.0,0.0
1990,2,Japan,427644.0,2895.0,187815.0,147.7181347150259,9.731933685212613,2,46008302.0,0.0
1990,2,Germany,363220.0,2390.0,202388.0,151.97489539748955,-2.745051837888779,0,46008302.0,0.0
